text,start,end,entities,duration,top_three_entities
Elon Musk his fourth time on this The,2.04,8.52,"[('Elon Musk', 0, 9, 'PERSON'), ('fourth', 14, 20, 'ORDINAL')]",6.4799999999999995,"['Elon Musk', 'fourth']"
Lex Friedman about the Roman Empire as one Roman Empire at least once a day and half the population is confused whether world today and as you know uh war and uh Roman society and culture and it I like the Austra Hungarian Empire where ability to control our um limpic chimpanzee and in fact if if one looks at say chimpanzee Society it is not friendly I mean the bonovas are an exception um but chimpanzee Society,5.44,193.28,"[('Lex Friedman', 0, 12, 'PERSON'), ('the Roman Empire', 6, 22, 'GPE'), ('one', 26, 29, 'CARDINAL'), ('Roman Empire', 0, 12, 'GPE'), ('half', 0, 4, 'CARDINAL'), ('today', 6, 11, 'DATE'), ('Roman', 3, 8, 'NORP'), ('Austra', 9, 15, 'GPE'), ('Hungarian', 16, 25, 'NORP'), ('limpic', 26, 32, 'GPE'), ('one', 29, 32, 'CARDINAL'), ('Society', 18, 25, 'ORG'), ('bonovas', 20, 27, 'PRODUCT'), ('Society', 28, 35, 'ORG')]",187.84,"['one', 'Society', 'Lex Friedman']"
Romans said just War there's no just war,205.12,210.72,"[('Romans', 0, 6, 'NORP')]",5.599999999999994,['Romans']
yeah chimpan Society is a Like A too many Disney movies decides to raise or Che their fingers off and that kind people it's un unfortunate like that's I going on today and to see what the path current war in Israel and Gaza comes to Middle East um in Israel especially so uh the the goal of Hamas was to provoke an overreaction from Israel um they aggressive response possible from Israel response to um rally Muslims worldwide uh for the course of uh Gaza and Palestine which they have succeeded in Israel engage in the most cons for Israel to find the Hamas members and you know somehow because hos will then their um but Ian you really have if if you're Israel so really the question is like Gaza if you you've made at least a few uh Hamas members who will die Israeli that's the situation so but but I mean this is one of the and scale of War but to to imagine that War the first book starts off with a,213.2,605.6,"[('yeah chimpan Society', 0, 20, 'ORG'), ('Disney', 9, 15, 'ORG'), ('Che', 3, 6, 'PERSON'), ('un', 12, 14, 'ORG'), ('today', 9, 14, 'DATE'), ('Israel', 15, 21, 'GPE'), ('Gaza', 26, 30, 'GPE'), ('Middle East', 0, 11, 'LOC'), ('Israel', 18, 24, 'GPE'), ('Hamas', 19, 24, 'ORG'), ('Israel', 21, 27, 'GPE'), ('Israel', 34, 40, 'GPE'), ('Muslims', 21, 28, 'NORP'), ('Gaza', 24, 28, 'GPE'), ('Palestine', 0, 9, 'GPE'), ('Israel', 0, 6, 'GPE'), ('Israel', 4, 10, 'GPE'), ('Hamas', 12, 17, 'ORG'), ('hos', 16, 19, 'ORG'), ('Ian', 7, 10, 'PERSON'), ('Israel', 0, 6, 'GPE'), ('Gaza', 0, 4, 'GPE'), ('Hamas', 3, 8, 'ORG'), ('Israeli', 0, 7, 'NORP'), ('one', 26, 29, 'CARDINAL'), ('War', 13, 16, 'EVENT'), ('first', 8, 13, 'ORDINAL')]",392.40000000000003,"['Israel', 'Gaza', 'Hamas']"
gigantic Galactic War where trillions we are able to one day expand to you know full the Galaxy or whatever there the scale I mean the scale of War has it be stopped one of the things that few people people alive today who horrors of War at least in the US I mean lines in Ukraine and Russia who was in World War II uh he was severely in for almost six years in the in East North Africa and Italy uh all his finish High School um he had to drop out,602.519,707.68,"[('Galactic War', 9, 21, 'EVENT'), ('one day', 15, 22, 'DATE'), ('Galaxy', 14, 20, 'PRODUCT'), ('War', 30, 33, 'EVENT'), ('one', 14, 17, 'CARDINAL'), ('today', 24, 29, 'DATE'), ('US', 31, 33, 'GPE'), ('Ukraine', 9, 16, 'GPE'), ('Russia', 21, 27, 'GPE'), ('World War II', 7, 19, 'EVENT'), ('almost six years', 7, 23, 'DATE'), ('East', 34, 38, 'LOC'), ('North Africa', 0, 12, 'GPE'), ('Italy', 17, 22, 'GPE'), ('High School', 7, 18, 'ORG')]",105.16099999999994,"['Galactic War', 'one day', 'Galaxy']"
British intelligence in London that's died you know 20 years ago or longer,728.6,769.6800000000001,"[('British', 0, 7, 'NORP'), ('London', 24, 30, 'GPE'), ('20 years ago', 14, 26, 'DATE')]",41.08000000000004,"['British', 'London', '20 years ago']"
actually 30 years ago remember World War II not many and the bombs pointed at United States to make times there's two major Wars going on potential obviously Global Theron how do you hope the war in Ukraine comes and uh infantry trenches it's World War One all over again sort of Cru or or peace a year ago was flower of Ukrainian and Russian Youth the Russian boys as well as the Ukrainian boys because they Russian boys World War I it's like young boys who that so Vladimir zalinski said that he's interested in talking to Putin directly Ukrainian youth to be to die uh in trenches uh whether he talks to Putin or possibility of war between us and China question of Taiwan and one China policy where these two superpowers opposed to what one side or another the whole thing yeah so that Athens and Sparta it's classic case the thing about the Greeks is they really wrote down a the Greeks they really wrote a know what led up to the pelian war between um the spoton and Athenian coming I mean the Spartans didn't right they also weren't very foros by their the the Athenians and the other Greeks leader of of Greece um but but Athens be a clash between Athens and Sparta uh well how do we avoid that and if if one uh group one civilization or or country or know the United States has been the think around 1890 from an economic standpoint so the United States has been likely to be two perhaps three times larger than that of the US so imagine,767.079,1368.039,"[('30 years ago', 9, 21, 'DATE'), ('World War II', 9, 21, 'EVENT'), ('United States', 17, 30, 'GPE'), ('two', 14, 17, 'CARDINAL'), ('Global Theron', 20, 33, 'ORG'), ('Ukraine', 27, 34, 'GPE'), ('World War', 30, 39, 'EVENT'), ('One', 0, 3, 'CARDINAL'), ('Cru', 8, 11, 'ORG'), ('a year ago', 24, 34, 'DATE'), ('Ukrainian', 10, 19, 'NORP'), ('Russian', 24, 31, 'NORP'), ('Russian', 4, 11, 'NORP'), ('Ukrainian', 0, 9, 'NORP'), ('Russian', 28, 35, 'NORP'), ('World War I', 0, 11, 'EVENT'), ('Vladimir zalinski', 8, 25, 'PERSON'), ('Putin', 25, 30, 'PERSON'), ('Ukrainian', 0, 9, 'NORP'), ('Putin', 32, 37, 'PERSON'), ('China', 34, 39, 'GPE'), ('Taiwan', 12, 18, 'GPE'), ('one', 23, 26, 'CARDINAL'), ('China', 27, 32, 'GPE'), ('two', 12, 15, 'CARDINAL'), ('one', 16, 19, 'CARDINAL'), ('Athens', 29, 35, 'GPE'), ('Sparta', 0, 6, 'GPE'), ('Greeks', 4, 10, 'NORP'), ('Greeks', 4, 10, 'NORP'), ('the pelian war', 20, 34, 'EVENT'), ('Athenian', 26, 34, 'NORP'), ('Spartans', 18, 26, 'NORP'), ('foros', 23, 28, 'NORP'), ('Athenians', 8, 17, 'NORP'), ('Greeks', 32, 38, 'NORP'), ('Greece', 13, 19, 'GPE'), ('Athens', 31, 37, 'GPE'), ('Athens', 19, 25, 'GPE'), ('Sparta', 0, 6, 'NORP'), ('one', 6, 9, 'CARDINAL'), ('one', 6, 9, 'CARDINAL'), ('the United States', 5, 22, 'GPE'), ('1890', 13, 17, 'DATE'), ('the United States', 14, 31, 'GPE'), ('two', 13, 16, 'CARDINAL'), ('three', 25, 30, 'CARDINAL'), ('US', 24, 26, 'GPE')]",600.96,"['one', 'two', 'Ukrainian']"
Gap in understanding of each other and you are an American obviously you've the United States but you also work with China I've spent a lot of time in China some things about China that people Chinese well uh the the sheer number of really smart hardworking people in China people are there in China there's far so I mean the architecture in China that's in recent years is far more impressive than the US I mean the the we have in the US I I mean I recommend somebody just go to Shanghai and Beijing look at the buildings and go to you take the train from Beijing to Shion you have the Terra Cotta Warriors um China's got incredible history very long standpoint um sort of one of one of the written language and and then China so um now China um historically has,1387.72,1497.919,"[('Gap', 0, 3, 'ORG'), ('American', 11, 19, 'NORP'), ('the United States', 0, 17, 'GPE'), ('China', 0, 5, 'GPE'), ('China', 34, 39, 'GPE'), ('China', 18, 23, 'GPE'), ('Chinese', 0, 7, 'NORP'), ('China', 35, 40, 'GPE'), ('China', 20, 25, 'GPE'), ('China', 30, 35, 'GPE'), ('recent years', 10, 22, 'DATE'), ('US', 20, 22, 'GPE'), ('US', 15, 17, 'GPE'), ('Shanghai', 20, 28, 'GPE'), ('Beijing', 0, 7, 'GPE'), ('Beijing', 24, 31, 'GPE'), ('the Terra Cotta Warriors', 9, 33, 'ORG'), ('China', 0, 5, 'GPE'), ('one', 22, 25, 'CARDINAL'), ('one', 29, 32, 'CARDINAL'), ('China', 30, 35, 'GPE'), ('China', 10, 15, 'GPE')]",110.19900000000007,"['China', 'US', 'Beijing']"
um in the Three Kingdoms War I believe,1507.12,1512.9189999999999,"[('the Three Kingdoms War', 6, 28, 'EVENT')]",5.798999999999978,['the Three Kingdoms War']
they lost about 70% of their brutal internal Wars like civil wars that make the US Civil War that China is not China is a sort of one entity of one people who understand China would agree that people in China think about China 10 times more than they think about anything outside of China so it's like 90% of their consideration is uh you the good news the history of China suggests that China is not inquisitive been inquisitive um the US is one of the also one of the rare cases that has not been inquisitive like after World War II the us could have basically taken over and the United States could have taken um the United States actually helped Europe you it helped rebuild Japan um this is very unusual behavior um you know the US did conspicuous acts always like well America's done bad things well of course America's done bad generally you know one one sort of test War MH or let's um you know no offense to the Russians but let's say you're in Germany it's 1945 you got the Russian army coming on one side you got the French British and American armies coming to the other side perfect but I recommend um being a PW with the Americans that would be my so and in fact Von Brown um yeah took to be captured by the Americans Y and uh in fact the SS was under orders to execute bar Brown and all of the uh German rocket Engineers uh and they woods they left in the middle of winter then just cycled West as fast as he could and found found a US Patrol um so anyway that's that's one that's one way PW it's not fun anywhere but some places so um anyway so so so like America has generally a benevolent Force um and uh half right knows that so so I think there are in this way China and uh the,1509.64,1778.1200000000001,"[('about 70%', 10, 19, 'PERCENT'), ('brutal internal', 0, 15, 'ORG'), ('the US Civil War', 10, 26, 'EVENT'), ('China', 5, 10, 'GPE'), ('China', 0, 5, 'GPE'), ('one', 19, 22, 'CARDINAL'), ('one', 33, 36, 'CARDINAL'), ('China', 22, 27, 'GPE'), ('China', 15, 20, 'GPE'), ('China', 33, 38, 'GPE'), ('10', 0, 2, 'CARDINAL'), ('China', 20, 25, 'GPE'), ('90%', 0, 3, 'PERCENT'), ('China', 29, 34, 'GPE'), ('China', 14, 19, 'GPE'), ('US', 24, 26, 'GPE'), ('one', 5, 8, 'CARDINAL'), ('World War II', 28, 40, 'EVENT'), ('us', 4, 6, 'GPE'), ('the United States', 4, 21, 'GPE'), ('the United States', 3, 20, 'GPE'), ('Europe', 0, 6, 'LOC'), ('Japan', 0, 5, 'GPE'), ('US', 16, 18, 'GPE'), ('America', 17, 24, 'GPE'), ('America', 22, 29, 'GPE'), ('one', 19, 22, 'CARDINAL'), ('War MH', 0, 6, 'ORG'), ('Russians', 30, 38, 'NORP'), ('Germany', 24, 31, 'GPE'), ('1945', 0, 4, 'DATE'), ('Russian', 17, 24, 'NORP'), ('one', 0, 3, 'CARDINAL'), ('French', 21, 27, 'NORP'), ('British', 28, 35, 'NORP'), ('American', 0, 8, 'NORP'), ('PW', 35, 37, 'GPE'), ('Americans', 9, 18, 'NORP'), ('Von Brown', 15, 24, 'PERSON'), ('Americans', 22, 31, 'NORP'), ('SS', 21, 23, 'ORG'), ('Brown', 15, 20, 'PERSON'), ('German', 3, 9, 'NORP'), ('the middle of winter', 19, 39, 'DATE'), ('West', 17, 21, 'LOC'), ('US', 24, 26, 'GPE'), ('one', 32, 35, 'CARDINAL'), ('PW', 0, 2, 'GPE'), ('America', 27, 34, 'GPE'), ('Force', 23, 28, 'ORG'), ('half', 0, 4, 'CARDINAL'), ('China', 22, 27, 'GPE')]",268.48,"['China', 'one', 'US']"
